Vpv              	Ipv              	Pcikis           
5.2366449964654498	4.8892064388184053	25.364464808164762
5.2855366058512567	4.8891154378338797	25.603038434525061
5.3344273051258595	4.8890244164212504	25.841598616903465
5.3833170940849762	4.8889333745805175	26.08014534238454
5.4322059725143994	4.888842310535324	26.318678607221848
5.4810939401895427	4.8887512233974917	26.557198402795851
5.5299809968749818	4.8886601131670204	26.795704710526394
5.5788671423239622	4.8885689762911966	27.034197525994323
5.6277523762778969	4.888477814546377	27.272676839770273
5.6766366984658241	4.8883866234916695	27.511142632196705
5.7255201086038641	4.8882954040152526	27.749594903202247
5.7744026063946317	4.8882041534525911	27.98803363248518
5.8232841915266347	4.8881128718036848	28.226458809414407
5.8721648636736345	4.8880215564039986	28.464870417944372
5.921044622493989	4.887930206365354	28.703268441610405
